stop_name,stop_id,stop_code,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
Hynes Convention Center,node-hymnl-ebstairs-lobby,,Hynes Convention Center - Top of stairs for Park Street & North,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-ebstairs-platform,,Hynes Convention Center - Bottom of stairs for Park Street & North,,,,,,,,level_-2_platform,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-farepaid,,Hynes Convention Center - Paid side of fare gates,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-fareunpaid,,Hynes Convention Center - Unpaid side of fare gates,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-massentrance,,Hynes Convention Center - Bottom of stairs for Massachusetts Avenue,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-newbury-farepaid,,Hynes Convention Center - Top of stairs for Newbury Street exit,,,,,,,,level_in_street,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-newbury-fareunpaid,,Hynes Convention Center - Unpaid side of exit-only gate,,,,,,,,level_in_street,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-newburyexit,,Hynes Convention Center - Bottom of stairs for Newbury Street exit,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-wbstairs-lobby,,Hynes Convention Center - Top of stairs for Kenmore & West,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-wbstairs-midblobby,,Hynes Convention Center - Platform end of middle landing,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-wbstairs-midtlobby,,Hynes Convention Center - Lobby end of middle landing,,,,,,,,level_-1_lobby,3,place-hymnl,1,Boston,,,
Hynes Convention Center,node-hymnl-wbstairs-platform,,Hynes Convention Center - Bottom of stairs for Kenmore & West,,,,,,,,level_-2_platform,3,place-hymnl,1,Boston,,,
Jackson Square,place-jaksn,,,,,42.323132,-71.099592,,"1500 Columbus Ave, Jamaica Plain, MA",https://www.mbta.com/stops/place-jaksn,,1,,1,Boston,,,
Jackson Square,11531,11531,Jackson Square - Busway,,Busway,42.323074,-71.099546,LocalBus,,https://www.mbta.com/stops/place-jaksn,level_ground,0,place-jaksn,0,Boston,,,3
Jackson Square,70006,70006,Jackson Square - Orange Line - Forest Hills,,Forest Hills,42.323132,-71.099592,RapidTransit,,https://www.mbta.com/stops/place-jaksn,level_-1_platform,0,place-jaksn,1,Boston,,,1
Jackson Square,70007,70007,Jackson Square - Orange Line - Oak Grove,,Oak Grove,42.323132,-71.099592,RapidTransit,,https://www.mbta.com/stops/place-jaksn,level_-1_platform,0,place-jaksn,1,Boston,,,1
"Jackson Square - Centre St, Busway, Park",door-jaksn-main,,"Jackson Square - Centre St, Busway, Park",,,42.323014,-71.099879,,,,level_ground,2,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-133-lobby,,Jackson Square - Top of Escalator 133,,,,,,,,level_ground,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-133-platform,,Jackson Square - Bottom of Escalator 133,,,,,,,,level_-1_platform,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-846-lobby,,Jackson Square - Top of Elevator 846,,,,,,,,level_ground,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-846-platform,,Jackson Square - Bottom of Elevator 846,,,,,,,,level_-1_platform,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-farepaid,,Jackson Square - Paid side of fare gates,,,,,,,,level_ground,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-fareunpaid,,Jackson Square - Unpaid side of fare gates,,,,,,,,level_ground,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-stairs-lobby,,Jackson Square - Top of stairs,,,,,,,,level_ground,3,place-jaksn,1,Boston,,,
Jackson Square,node-jaksn-stairs-platform,,Jackson Square - Bottom of stairs,,,,,,,,level_-1_platform,3,place-jaksn,1,Boston,,,
JFK/UMass,place-jfk,,,,,42.320685,-71.052391,CR-zone-1A,"599 Old Colony Ave Boston, MA 02127-3805",https://www.mbta.com/stops/place-jfk,,1,,1,Boston,,,
JFK/UMass,121,121,JFK/UMass - Busway,,Busway,42.320511,-71.05178,LocalBus,,https://www.mbta.com/stops/place-jfk,level_ground,0,place-jfk,0,Boston,,,3
JFK/UMass,70085,70085,JFK/UMass - Red Line - Ashmont,,Ashmont,42.320685,-71.052391,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1
JFK/UMass,70086,70086,JFK/UMass - Red Line - Alewife (from Ashmont),,Alewife (from Ashmont),42.320685,-71.052391,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1
JFK/UMass,70095,70095,JFK/UMass - Red Line - Braintree,,Braintree,42.320685,-71.052391,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1
JFK/UMass,70096,70096,JFK/UMass - Red Line - Alewife (from Braintree),,Alewife (from Braintree),42.320685,-71.052391,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1
JFK/UMass,JFK/UMASS,,JFK/UMass - Commuter Rail,,Commuter Rail,42.321079,-71.052155,CR-zone-1A,,https://www.mbta.com/stops/place-jfk,level_0.5_cr_platform,0,place-jfk,1,Boston,,,2
"JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)",door-jfk-busway,,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)",,,42.320486,-71.051545,,,,level_ground,2,place-jfk,1,Boston,,,
JFK/UMass - Columbia Rd,door-jfk-columbia,,JFK/UMass - Columbia Rd,,,42.321358,-71.052583,,,,level_columbia_rd,2,place-jfk,1,Boston,,,
"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",door-jfk-oldcolony,,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",,,42.320829,-71.051623,,,,level_ground,2,place-jfk,2,Boston,,,
JFK/UMass - Sydney St (North),door-jfk-sydneyn,,JFK/UMass - Sydney St (North),,,42.320597,-71.052713,,,,level_in_street,2,place-jfk,2,Boston,,,
JFK/UMass - Sydney St (South),door-jfk-sydneys,,JFK/UMass - Sydney St (South),,,42.319895,-71.052602,,,,level_in_street,2,place-jfk,2,Boston,,,
JFK/UMass,node-322-lobby,,JFK/UMass - Top of escalator from platform to Columbia Road,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-322-platform,,JFK/UMass - Bottom of escalator from platform to Columbia Road,,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-830-lobby,,"JFK/UMass - Top of elevator between Ashmont, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-830-platform,,"JFK/UMass - Bottom of elevator between Braintree, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-831-lobby,,"JFK/UMass - Top of elevator between Ashmont, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-831-platform,,"JFK/UMass - Bottom of elevator between Ashmont, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashcolfarepaid,,JFK/UMass - Paid side of exit-only gates,,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashcolfareunpaid,,JFK/UMass - Unpaid side of exit-only gates,,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashcolstair-lobby,,"JFK/UMass - Top of stairs from Ashmont, Alewife platform and Columbia Road",,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashcolstair-platform,,"JFK/UMass - Bottom of stairs from Ashmont, Alewife platform and Columbia Road",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashganstair-lobby,,"JFK/UMass - Top of northern stairs between Ashmont, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashganstair-platform,,"JFK/UMass - Bottom of northern stairs between Ashmont, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashgasstair-lobby,,"JFK/UMass - Top of southern stairs between Ashmont, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashgasstair-platform,,"JFK/UMass - Bottom of southern stairs between Ashmont, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashsydstair-lobby,,"JFK/UMass - Top of stairs between Ashmont, Alewife platform and Sydney Street",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-ashsydstair-platform,,"JFK/UMass - Bottom of stairs between Ashmont, Alewife platform and Sydney Street",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bracolfarepaid,,JFK/UMass - Paid side of exit-only gates,,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bracolfareunpaid,,JFK/UMass - Unpaid side of exit-only gates,,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bracolstair-lobby,,"JFK/UMass - Top of stairs from Braintree, Alewife platform and Columbia Road",,,,,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bracolstair-platform,,"JFK/UMass - Bottom of stairs from Braintree, Alewife platform and Columbia Road",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-braganstair-lobby,,"JFK/UMass - Top of northern stairs between Braintree, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-braganstair-platform,,"JFK/UMass - Bottom of northern stairs between Braintree, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bragasstair-lobby,,"JFK/UMass - Top of southern stairs between Braintree, Alewife platform and lobby",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-bragasstair-platform,,"JFK/UMass - Bottom of southern stairs between Braintree, Alewife platform and lobby",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-brasydstair-lobby,,"JFK/UMass - Top of stairs between Braintree, Alewife platform and Sydney Street",,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-brasydstair-platform,,"JFK/UMass - Bottom of stairs between Braintree, Alewife platform and Sydney Street",,,,,,,,level_0_red_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-busramp-lobby,,"JFK/UMass - Top of ramp for busway, Commuter Rail, Old Colony Road",,,42.320707,-71.051746,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-crcolstair-columbia,,"JFK/UMass - Top of stairs between Columbia Road and Old Colony Road, Commuter Rail, busway",,,42.321367,-71.052215,,,,level_columbia_rd,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-crcolstair-street,,"JFK/UMass - Bottom of stairs between Columbia Road and Old Colony Road, Commuter Rail, busway",,,42.321284,-71.052171,,,,level_ground,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-crramp-cr,,"JFK/UMass - Top of ramp between busway, Commuter Rail, Old Colony Avenue and Red Line",,,42.321012,-71.052144,,,,level_0.5_cr_platform,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-crramp-street,,JFK/UMass - Bottom of Commuter Rail platform ramp,,,42.321163,-71.052148,,,,level_ground,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-mainfarepaid,,JFK/UMass - Paid side of fare gates,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-mainfareunpaid,,JFK/UMass - Unpaid side of fare gates,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-oldstaire-lobby,,"JFK/UMass - Top of stairs between busway, Commuter Rail, Old Colony Avenue and Red Line",,,42.320784,-71.051687,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-oldstairw-lobby,,"JFK/UMass - Top of stairs between busway, Commuter Rail, Old Colony Avenue and Red Line",,,42.320796,-71.051706,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-sydfarepaid,,JFK/UMass - Paid side of exit-only gates,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-sydfareunpaid,,JFK/UMass - Unpaid side of exit-only gates,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-sydneynstair-lobby,,JFK/UMass - Top of stairs between Sydney Street and lobby,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
JFK/UMass,node-jfk-sydneysstair-lobby,,JFK/UMass - Top of stairs between Sydney Street and lobby,,,,,,,,level_1_lobby,3,place-jfk,1,Boston,,,
Kenmore,place-kencl,,,,,42.348949,-71.095169,,"Commonwealth Ave and Kenmore St, Boston, MA 02215",https://www.mbta.com/stops/place-kencl,,1,,1,Boston,,,
Kenmore,70150,70150,Kenmore - Green Line - Park Street & North,,Park Street & North,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0
Kenmore,70151,70151,Kenmore - Green Line - (C) Cleveland Circle/(D) Riverside,,Cleveland Circle/Riverside,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0
Kenmore,71150,71150,Kenmore - Green Line - Park Street & North,,Park Street & North,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0
Kenmore,71151,71151,Kenmore - Green Line - (B) Boston College,,Boston College,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0
Kenmore,899,899,Kenmore - Busway,,Busway,42.348927,-71.09583,LocalBus,,https://www.mbta.com/stops/place-kencl,level_ground,0,place-kencl,0,Boston,Busway,Commonwealth Avenue,3
"Kenmore - Boston University, Beacon St",door-kencl-beacon,,"Kenmore - Boston University, Beacon St",,,42.349273,-71.095549,,,,level_in_street,2,place-kencl,2,Boston,,,
"Kenmore - Busway, Commonwealth Ave",door-kencl-busway,,"Kenmore - Busway, Commonwealth Ave",,,42.348882,-71.09542,,,,level_ground,2,place-kencl,1,Boston,,,
"Kenmore - Fenway Park, Commonwealth Ave",door-kencl-commonwealth,,"Kenmore - Fenway Park, Commonwealth Ave",,,42.348616,-71.09552,,,,level_in_street,2,place-kencl,1,Boston,,,
Kenmore,node-430-landing,,Kenmore - Bottom of busway escalator,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
Kenmore,node-431-lobby,,Kenmore - Top of escalator from westbound platform,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-431-platform,,Kenmore - Bottom of escalator from westbound platform,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kenmore,node-432-lobby,,Kenmore - Top of escalator from Park Street & North platform,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-432-platform,,Kenmore - Bottom of escalator from Park Street & North platform,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kenmore,node-948-lobby,,Kenmore - Bottom of Commonwealth Avenue elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-971-lobby,,Kenmore - Top of westbound platform elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-971-platform,,Kenmore - Bottom of westbound platform elevator,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kenmore,node-972-paidlobby,,Kenmore - Paid lobby level for Park Street & North elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-972-platform,,Kenmore - Bottom of Park Street & North elevator,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kenmore,node-972-unpaidlobby,,Kenmore - Unpaid lobby level for busway elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-beacstair-lobby,,Kenmore - Bottom of Beacon Street stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-busstair-landing,,Kenmore - Bottom of busway stairs,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-commstair-lobby,,Kenmore - Bottom of Commonwealth Avenue stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-ebstair-lobby,,Kenmore - Top of Park Street & North stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-ebstair-platform,,Kenmore - Bottom of Park Street & North stairs,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-farepaid,,Kenmore - Paid side of fare gates,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-fareunpaid,,Kenmore - Unpaid side of fare gates,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-fvmramp-landing,,Kenmore - Top of ramp between lobby and fare vending machines,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-fvmramp-lobby,,Kenmore - Bottom of ramp between lobby and fare vending machines,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-fvmstair-landing,,Kenmore - Top of stairs between lobby and fare vending machines,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-fvmstair-lobby,,Kenmore - Bottom of stairs a between lobby and fare vending machines,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-wbstair-lobby,,Kenmore - Top of westbound platform stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
Kenmore,node-kencl-wbstair-platform,,Kenmore - Bottom of westbound platform stairs,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
Kendall/MIT,place-knncl,,,,,42.362491,-71.086177,,"300 Main St, Cambridge, MA 02142",https://www.mbta.com/stops/place-knncl,,1,,1,Cambridge,,,
Kendall/MIT,70071,70071,Kendall/MIT - Red Line - Ashmont/Braintree,,Ashmont/Braintree,42.362355,-71.085605,RapidTransit,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1
Kendall/MIT,70072,70072,Kendall/MIT - Red Line - Alewife,,Alewife,42.362434,-71.085591,RapidTransit,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1
"Kendall/MIT - Main St, Buses, Cambridge Center",door-knncl-nbmain,,"Kendall/MIT - Main St, Buses, Cambridge Center",,,42.362588,-71.086167,,,,level_in_street,2,place-knncl,1,Cambridge,,,
"Kendall/MIT - Main St, Third St",door-knncl-nbsecond,,"Kendall/MIT - Main St, Third St",,,42.362439,-71.084837,,,,level_in_street,2,place-knncl,2,Cambridge,,,
"Kendall/MIT - Main St, Buses, Cambridge Center",door-knncl-sbmain,,"Kendall/MIT - Main St, Buses, Cambridge Center",,,42.362259,-71.086206,,,,level_in_street,2,place-knncl,1,Cambridge,,,
"Kendall/MIT - Main St, Third St",door-knncl-sbsecond,,"Kendall/MIT - Main St, Third St",,,42.362232,-71.084862,,,,level_in_street,2,place-knncl,2,Cambridge,,,
Kendall/MIT,node-361-entrance,,Kendall/MIT - Top of Escalator 361,,,,,,,,level_in_street,3,place-knncl,1,Cambridge,,,
Kendall/MIT,node-361-platform,,Kendall/MIT - Bottom of Escalator 361,,,,,,,,level_-1_platform,3,place-knncl,1,Cambridge,,,
Kendall/MIT,node-362-entrance,,Kendall/MIT - Top of Escalator 362,,,,,,,,level_in_street,3,place-knncl,1,Cambridge,,,
